name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Actemium Compiègne,industrial,Ribécourt-Dreslincourt,https://www.actemium.fr/,https://jobs.vinci.com/,,,1000+,Automatisation industrielle,2026-09-22
AGCO,industrial,Beauvais,https://www.agcocorp.com/fr/fr/,https://careers.agcocorp.com/,,,1000+,Ingénierie de machines agricoles,2026-09-22
AGESYS,software,Noyon,https://www.agesys.fr/,,,,51-1000,ESN et cybersécurité,2026-09-22
Akanea,software,Tillé,https://www.akanea.com/,,,,51-1000,Éditeur de logiciels supply-chain,2026-09-22
Arkema,industrial,Villers-Saint-Paul,https://www.arkema.com/france/fr/,https://jobs.arkema.com/,,,1000+,Production et R&D chimique,2026-09-22
ATV Technologies,healthtech,Venette,https://www.atv-technologies.com/,,,,11-50,Biotechnologies industrielles,2026-09-22
Autoneum,industrial,Lachapelle-aux-Pots,https://www.autoneum.com/,https://careers.autoneum.com/,,,1000+,Ingénierie acoustique automobile,2026-09-22
BASF,industrial,Breuil-le-Sec,https://www.basf.com/fr/fr,https://www.basf.com/fr/fr/careers,,,1000+,Production et ingénierie chimique,2026-09-22
BCSYS,software,Lacroix-Saint-Ouen,https://www.bcsys.fr/,,,,11-50,Intégrateur ERP et BI,2026-09-22
Biocodex,healthtech,Beauvais,https://www.biocodex.fr/,https://careers.biocodex.com/,,,1000+,Production pharmaceutique,2026-09-22
Bostik,industrial,Venette,https://www.bostik.com/france/fr/,https://careers.arkema.com/,,,1000+,Centre mondial de R&D,2026-09-22
Cornilleau,industrial,Bonneuil-les-Eaux,https://fr.cornilleau.com/,,,,51-1000,Conception de produits techniques,2026-09-22
Crisalid,software,Tillé,https://www.crisalid.com/,,,,51-1000,Éditeur de logiciels de caisse,2026-09-22
Innoteo,software,Compiègne,https://www.innoteo.fr/,,,,11-50,Réalité augmentée industrielle,2026-09-22
ISAGRI,software,Tillé,https://www.isagri.fr/,https://recrutement.isagri.fr/,,,1000+,Éditeur de logiciels agricoles,2026-09-22
L'Oréal,industrial,Lassigny,https://www.loreal.com/fr-fr/france/,https://careers.loreal.com/,,,1000+,Ingénierie de production cosmétique,2026-09-22
LD Informatique,software,Compiègne,https://ldinformatique.fr/,,https://fr.linkedin.com/company/ldinformatique,,1-10,Infogérance et infrastructure,2026-09-22
Lisam Telegis,software,Passel,https://www.lisam.com/,,,,11-50,Logiciels de conformité HSE,2026-09-22
LVMH Fragrance Brands,industrial,Beauvais,https://www.lvmh.com/fr/nos-maisons/parfums-cosmetiques/parfums-givenchy,https://www.lvmh.com/fr/nous-rejoindre,,,1000+,R&D et production cosmétique,2026-09-22
Matra Electronique,industrial,Venette,https://www.matra-electronique.com/,,,,51-1000,Électronique et usine 4.0,2026-09-22
Nodevo,software,Chantilly,https://nodevo.com/,,,,11-50,Développement logiciel sur mesure,2026-09-22
NTI Solutions,software,Beauvais,https://nti-solutions.fr/,,,,11-50,ESN et cybersécurité,2026-09-22
OPmobility,industrial,Venette,https://www.opmobility.com/fr/,https://careers.opmobility.com/,,,1000+,Centre R&D automobile Alphatech,2026-09-22
Poclain Hydraulics,industrial,Verberie,https://www.poclain-hydraulics.com/fr/,https://careers.poclain.com/,,,1000+,R&D en systèmes hydrauliques,2026-09-22
Safran Electrical & Power,industrial,Méru,https://www.safran-group.com/fr/societes/safran-electrical-power,https://www.safran-group.com/fr/offres,,,1000+,Équipements électriques aéronautiques,2026-09-22
Safran Seats,industrial,Saint-Crépin-Ibouvillers,https://www.safran-group.com/fr/societes/safran-seats,https://www.safran-group.com/fr/offres,,,1000+,Ingénierie aéronautique,2026-09-22
Saverglass,industrial,Feuquières,https://www.saverglass.com/,https://careers.saverglass.com/,,,1000+,R&D et production verrière,2026-09-22
Sika,industrial,Margny-lès-Compiègne,https://fra.sika.com/,https://www.sika.com/en/career.html,,,1000+,Technologies chimiques industrielles,2026-09-22
WeylChem Lamotte,industrial,Trosly-Breuil,https://weylchem.com/,https://weylchem.com/careers/,,,1000+,R&D et production chimique,2026-09-22
XEFI Beauvais,software,Beauvais,https://www.xefi.fr/fr/agence/xefi-beauvais/,,,,,ESN et infogérance,2026-09-22
