name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Acadir,cybersecurity,Dole,https://acadir.fr/,,https://www.linkedin.com/company/acadir-it/,,,Services informatiques managés,2026-09-21
Activinix (Béjean Développement),software|ecommerce,Lons-le-Saunier,https://www.activinix.fr/,,,Magento|Laravel,,Développement e-commerce et DevOps,2026-09-21
Agence GreenBox,software|ecommerce,Dole,https://www.green-box.fr/,,,,,Agence de développement web,2026-09-21
Agence NikO,software|ecommerce,Arbois,https://www.agence-niko.com/,,,,,Agence de développement web,2026-09-21
Altinea,cybersecurity|telecom,Nogna,https://altinea.fr/,,https://fr.linkedin.com/company/altinea/,,,ESN ; infrastructures et hébergement,2026-09-21
Ancre Rouge,software|ecommerce,Dole,https://www.ancrerouge.fr/,,,,,Agence de développement web,2026-09-21
Anghello,software|saas,Rans,https://www.anghello.com/,,,,,Logiciel de gestion de l’accueil des visiteurs,2026-09-21
API & You,software|ecommerce,Poligny,https://www.api-and-you.com/fr/,https://www.api-and-you.com/fr/carriere/,https://fr.linkedin.com/company/api-and-you-agence-conseil-communication-ecommerce/,WordPress|Optimus,,Agence de développement web pour l’hôtellerie,2026-09-21
ARICIA,software|ecommerce,Orgelet,http://www.aricia.fr/,,,,,Agence de développement web,2026-09-21
Blue Strat,software|ecommerce,Coteaux du Lizon,https://blue-strat.com/,,,WordPress|WooCommerce,,Agence de développement web,2026-09-21
IDCOM,software|ecommerce,Foucherans,https://www.idcom-lagence.fr/,,https://fr.linkedin.com/company/idcomcrea---agence-de-communication/,,,Agence de développement web,2026-09-21
IZIRO,software|saas,Fraisans,https://iziro.fr/,,,,,Logiciel de gestion de la conformité RGPD,2026-09-21
JKS Communication Digitale,software|ecommerce,Lons-le-Saunier,https://jkscommunication.com/,,,,,Agence web et automatisation,2026-09-21
Jordel Médias,software|ecommerce,Doucier,https://www.jordel-medias.com/,,https://www.linkedin.com/company/jordel-medias/,,,Agence de développement web,2026-09-21
Jura Web Excellence,software|ecommerce,Poligny,https://jura-website.fr/,,,,,Agence web et référencement,2026-09-21
JURACODE,software,Salins-les-Bains,https://www.juracode.fr/,,https://www.linkedin.com/company/juracode/,TypeScript|React|Next.js|Nuxt|Node.js|Python|Laravel|Supabase|PostgreSQL|Docker,,Développement web et applications,2026-09-21
Kidyfriends,software,Charchilla,https://kidyfriends.fr/,,https://www.linkedin.com/company/kidyfriends/,,,Application de découverte d’activités familiales,2026-09-21
Koesio,telecom|cybersecurity,Saint-Claude,https://koesio.com/agence/saint-claude-koesio-est/,https://team.koesio.com/,,,,Services informatiques et télécommunications,2026-09-21
L'Opale,software|ecommerce,Chaumergy,https://www.lopale.fr/,,,,,Agence de développement web,2026-09-21
LBcom,software|ecommerce,Saint-Amour,https://www.lbcom.fr/,,,,,Agence de développement web,2026-09-21
LiraCom,software|ecommerce,Lamoura,https://www.liracom.com/,,,WordPress,,Création de sites web et boutiques en ligne,2026-09-21
Monsieur Prompt,ai|software,Vevy,https://monsieurprompt.fr/,,,,,Intégration de solutions IA et automatisation,2026-09-21
Studio Rectangle,software|ecommerce,Lons-le-Saunier,https://rectangle.net/,,https://fr.linkedin.com/company/studio-rectangle/,,,Agence de développement web,2026-09-21
Thaïs PMS,software|saas,Lac-des-Rouges-Truites,https://thais-pms.fr/,,https://www.linkedin.com/company/thais-soft/,,,Logiciel de gestion hôtelière,2026-09-21
ThipiSee,ai|software,Lons-le-Saunier,https://thipisee.com/,,,,,Développement de logiciels d’intelligence artificielle,2026-09-21
WP Support,software|ecommerce,Macornay,https://wp-support.fr/,,,WordPress|WooCommerce,,Agence de développement web,2026-09-21
XEFI Lons,software|cybersecurity,Lons-le-Saunier,https://www.xefi.fr/fr/agence/xefi-lons/,https://carriere.xefi.fr/offres-emploi,https://www.linkedin.com/company/xefi/,,,Infogérance et infrastructures informatiques,2026-09-21
ZK Studio’s,software|ecommerce,Saint-Claude,https://zkstudios.fr/,,https://www.linkedin.com/company/zk-studios/,,,Agence de développement web,2026-09-21
