name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Artisites (CGR Digital Consulting),software|ecommerce,Noidans-lès-Vesoul,https://www.artisites.com/,,,,,Création et maintenance de sites web,2026-09-21
ByteMinds,software|ecommerce,Vauvillers,https://byteminds.fr/,,,JavaScript|React|Vue.js|WordPress|WooCommerce,,Développement web indépendant,2026-09-21
Déménageur de Site,software,Bussières,https://www.demenageur-site.com/,,https://www.linkedin.com/company/demenageur-site/,WordPress|PrestaShop|Drupal|Joomla,,NTRNT ; migration et maintenance de sites internet,2026-09-21
DSI évolution,software,Villeparois,https://dsi-evolution.fr/,,https://www.linkedin.com/company/dsi-evolution/,,,Direction des systèmes d’information externalisée,2026-09-21
Ekorse,software|saas,Gray,https://ekorse.com/,,,,,Logiciel de pilotage de la RSE,2026-09-21
F&SI,telecom|cybersecurity,Héricourt,https://f-si.com/,,https://www.linkedin.com/company/formation-et-solutions-informatiques/,,,Services informatiques et téléphonie,2026-09-21
Facton,software|ecommerce,Navenne,https://www.agence-facton.fr/,,https://www.linkedin.com/company/agence-facton/,WordPress|WooCommerce|PrestaShop|CakePHP|Laravel,,Agence de développement web,2026-09-21
Fourot,software,Gray,https://www.fourot-lpb.fr/,,,,,Infogérance et infrastructures informatiques,2026-09-21
Hacktive-IT,cybersecurity|software,Velet,https://www.hacktive-it.fr/,,,,,Cybersécurité et services informatiques,2026-09-21
Ikiweb,software|ecommerce,Noidans-lès-Vesoul,https://ikiweb.fr/,,,WordPress,,Agence de développement web,2026-09-21
Kandorlab,software,Scey-sur-Saône-et-Saint-Albin,https://www.kandorlab.com/,https://www.kandorlab.com/nous-rejoindre,https://www.linkedin.com/company/kandorlab/,PHP|Symfony|Laravel|Python|Django|React|React Native|Next.js|Flutter|PostgreSQL|Docker|Kubernetes,,Développement logiciel web et mobile,2026-09-21
Koesio,telecom|cybersecurity,Noidans-lès-Vesoul,https://koesio.com/agence/vesoul-koesio-est/,https://team.koesio.com/,,,,Services informatiques et télécommunications,2026-09-21
Loxodata,software,Navenne,https://www.loxodata.com/,,,PostgreSQL|Kubernetes,,Expertise PostgreSQL et infrastructures de données,2026-09-21
Netizis,software|ecommerce,Noidans-lès-Vesoul,https://www.netizis.fr/,,,,,Agence de développement web,2026-09-21
Numericom,software|telecom,Raddon-et-Chapendu,https://numericom.fr/,,,,,Conseil en informatique et réseaux,2026-09-21
Online Soft,software|cybersecurity,Vesoul,https://www.onlinesoft.fr/,,,,,Infogérance et infrastructures informatiques,2026-09-21
Onlineformapro,software,Vesoul,https://www.onlineformapro.com/,https://www.onlineformapro.com/recrutement/,https://www.linkedin.com/company/onlineformapro/,PHP,,Éditeur de plateformes de formation en ligne,2026-09-21
Procom,telecom|cybersecurity,Vesoul,https://www.procom-groupe.com/,,,,,Services informatiques et télécommunications,2026-09-21
Torop.Net,software|ecommerce,Vesoul,https://torop.net/,,,PHP|JavaScript|Linux,,Agence de développement web,2026-09-21
XEFI Vesoul,software|cybersecurity,Échenoz-la-Méline,https://www.xefi.fr/fr/agence/xefi-vesoul/,https://carriere.xefi.fr/offres-emploi,https://www.linkedin.com/company/xefi/,,,Infogérance et infrastructures informatiques,2026-09-21
